"","","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25"
"11",11,1.68981483232484,0.712952866635973,0.855314209097365,1.54815835228596,0.165745180704999,1.04314309571267,0.728373065266262,-1.31732216373856,0.0798084764516625,-0.808068188739979,-0.551312721101208,-0.0598953869958504,0.491680336904642,0.250087055224352,-1.00380842053342,-1.49843916501665,-1.46351797466453,-1.51179834974905,-0.581481444927075,0.360863917141232,-0.874543361775832,0.357508429468914,1.03405928603333,1.50071695779762,-0.602692552881992
"12",12,2.80711662751944,1.12654088762541,-0.223319526622997,-1.25399173902597,-0.159146897082814,-1.69809742540542,-0.128542979025745,-0.0796632102483345,0.341176462592448,-0.738117699353841,0.165961740788252,-0.175516733915174,0.588034904488124,-1.14276498312141,-0.844016744438754,-0.671839611349414,0.141807134257397,-0.575566731334887,0.474700812434389,0.636099835310929,0.712850408015575,1.30278225180763,-0.0344200191726716,-0.661601482456777,-0.827908735181904
"13",13,1.03766721958297,0.113966595899415,-0.0340912848191618,-0.135770724928204,-1.15162844267061,0.649198850377239,1.01750703972149,0.254884409005903,1.8158361989931,-0.739428998862594,0.0242939122142182,-1.08040467565713,-0.522442234049357,0.706595851732236,-0.125126619648859,0.862481050860652,-0.887464857342632,1.18801221776985,-0.516843998841078,0.0370659030897584,0.341366093506578,0.00528259129637385,-0.059685203965127,-1.39987868499694,-0.217029903254956
"14",14,-0.0253241127967721,-0.398730079961784,0.00746168598699512,0.307322642170317,0.334799615869492,0.766709834176562,0.266165132127094,-0.17779648626827,0.382765489315532,-1.3409914685748,-0.480481312418022,-0.844632105778415,0.68142416017709,0.171364581006824,-0.940870048522433,0.519354488073865,-0.103807232953926,-1.24176511579449,0.413774958067163,0.0164514118811732,-0.489028492894679,-1.94488630927872,1.41258425371105,1.0620709328464,-0.572829765074547
"15",15,-0.0373011437967788,1.19247331283656,1.12374339251234,0.09764648023127,1.02100286056992,0.118705410985673,1.32085654198755,-1.00097259110472,0.243726874180222,-2.61627659337204,-2.41189461063115,0.0940618116306174,-0.438081859934217,-0.233884677703007,0.0555299979990003,0.832893217265954,0.556590497820652,-0.863919187983776,0.371895615103897,-1.05598056190051,0.806902722666364,-0.456264253144401,0.898364943469941,0.109085613678867,0.417453877736855
"16",16,0.772524116311988,0.944890046322782,0.69820404314762,0.177037571535963,-0.359129952532013,0.59652366944339,-0.775352460824455,1.9156248735713,0.120358591097519,0.223349467071058,0.44069053450634,-1.17261740461174,-0.471872564540453,0.457387490717966,0.5035553505291,-1.09653150359706,-0.335682534861177,0.201207805595667,0.153248384268406,-0.0855221547976242,0.27143416450181,-0.432177909380888,-1.25778144679627,1.57252991363772,-0.156984221920909
"17",17,0.494082075211949,-1.20113524012563,-1.52267030993864,0.153992529355837,-1.00085919390352,0.0232892121408208,-1.79733783523427,-0.582762344487817,0.592983292555979,0.294133804250771,0.22116202041493,-0.281317075368923,0.61075792687731,-1.12026260254108,2.70457192512298,-0.480315012831496,0.399942575825854,-0.785985302822364,0.0410328319250029,0.0151185274477081,0.355594645874959,-0.253293201798498,0.738623809492146,-1.00184561282248,0.288655249117622
"18",18,0.196093266589994,0.716443212936645,-0.925072672939785,1.38891987331881,1.54325459030452,-0.363373729126767,0.898163886751661,2.33766418563799,-0.102323576455065,-1.14089038073703,-0.389790945680539,0.954681211141823,-0.360311880835885,1.73202408651511,1.0619408062845,0.931532960234658,-0.25319025875614,-0.0677646792310179,2.1771557328762,-0.62128230677106,0.0978887355951921,-0.00550487876511335,0.967704341581881,0.595765846053337,0.429861538556792
"19",19,-0.842936349063957,1.99646402043838,-1.12230082446642,1.01608268581184,0.50442128028308,0.389308708740387,-0.684426372859228,1.62926961004681,0.415129870089731,-1.37458940384845,-0.894993513189789,-1.77839786677438,0.629461069081222,0.638005544958409,0.899741220247317,-0.455907828040919,0.982846153304959,0.925181899726729,-0.263771917312229,-0.940413195308398,-2.31949231571656,0.0519562078332073,0.548683106033977,-0.689327210161971,-0.086820121132709
"20",20,0.0923305826964597,0.765438963281657,-0.455393115401894,-0.222341672320175,-2.91462340272197,0.700275821816151,-1.12224726545056,0.0570264439452773,0.873604508418158,-0.000134918870505908,-0.758602125960554,0.217669314314894,-0.00790554613150442,-0.57055130386869,-0.0154534785139425,1.39434704746112,-1.58473649545413,-2.10799869298123,-0.740259147102184,1.29566033433994,-0.12173128501275,1.27828044148345,-0.0880216485787794,1.03546776791736,-0.394362998287447
