"","indices","X__1","X__2","X__3","X__4","X__5","X__6","X__7","X__8","X__9","X__10","X__11","X__12","X__13","X__14","X__15","X__16","X__17","X__18","X__19","X__20","X__21","X__22","X__23","X__24","X__25"
"1",1,-1.11757689784628,-1.02098371110247,0.998921208673988,-0.817357742766397,-1.14733781640425,-0.277939712200071,1.19002995287637,-0.279577173419625,0.450301655314918,-0.195972528324173,0.216533961229036,-0.391760956323868,-1.2327341369649,0.545584263422128,1.07432708153747,-0.47355503985238,-0.0414494252752843,-1.33404525677523,-0.499343636382715,0.289258956455675,-0.730926485653745,-0.0650664835517222,0.196260443475779,0.86233753992261,0.141938087023629
"2",2,1.12818925670478,-0.700507997629587,-0.161359903387181,-0.615389605576757,0.636796061106685,-1.26250208432291,-0.57169058257669,0.388354942063447,0.13126771477206,-0.241717867565037,-0.76979705232024,-1.13085793969229,-0.478276409680976,0.508968351294925,1.49934546203747,-0.2684433336166,-0.0775042410329878,-0.787821199004912,-0.536375815027379,0.325362390196489,0.139740602730703,-0.681305099703822,0.0546823460090643,-0.329208641454951,-0.178184312030099
"3",3,0.356577108866553,-0.517502834410699,-1.13026126776805,-0.434152207910898,-0.270130433344306,-0.718962899044794,0.26699548321631,-0.332456272947544,-0.436921564546463,-0.27507293340176,0.788826891888085,0.224674645067236,-0.126006560992744,0.577843174405307,0.72743896094506,0.679416548256218,0.612331352659436,-0.198855738123633,0.310774113898567,-0.189715844565812,-1.09990391755531,0.532695621639428,-0.339497320216161,0.299532408024258,0.684456761577584
"4",4,0.487020503707203,-0.584102316719117,0.331435251534784,-0.194032582306272,0.440054602317867,0.0134036585929337,-0.34850124471835,0.671958652570456,0.43513711680495,-0.353439850136407,0.138137077644049,0.552823261591595,0.255810828694492,0.683680859135514,0.0779874562365419,1.3079198065942,0.158441623709761,0.512757401659667,0.215969093999748,0.539007745081699,-0.505299388801606,-0.425540068403169,0.39951912846767,-0.261466936673476,0.931253963628604
"5",5,0.065505943531097,0.243178181437607,-1.22872956501079,-1.0039564169923,-0.419475702257964,0.0544814102533052,1.06847709452835,0.953017528714677,-0.412771402407708,0.354747579243259,0.533584144535661,0.44670025484597,-0.0554031344514618,-1.38314758914413,-1.51344407062664,-0.229124987350214,-0.2798357806557,0.970747688557471,-0.528399362436618,-0.172569459874965,-0.722343650799669,0.819523734845754,0.418058537675481,0.543531429204316,0.175812229276525
"6",6,0.526855187109422,-0.160237585623595,0.291567286630479,-0.775036902495897,-0.269914792391181,0.243697896937459,-0.706430393068031,-0.865293883375765,0.808484868788487,-0.602281721577023,0.298130490352574,-0.245679757589338,0.352236004328255,0.354867457931882,-0.973531149878113,0.846265875993076,-0.238204637393486,0.54710134488692,-0.427418534287304,-0.893841053396179,-0.500270949222371,-0.496409573835046,-0.732539840137192,0.15703589295129,-0.357829860732195
"9",9,-0.403716603781493,-0.0757277510977499,-0.529183100983135,1.50988814730604,0.739538986136726,0.22829673125822,0.921641929253581,-0.3273832584632,0.534893947569628,0.294716544367562,-0.287600944251592,0.487774356965879,0.23259076569797,-0.329463637751901,-1.01813515381988,-0.408817363477128,0.253263547531631,1.20944700871989,-1.29318708104766,-0.463603326061822,0.465531408859352,-1.45236468427351,1.17113306894392,0.53191135840107,-0.141512469645781
"10",10,-0.0812265534146322,0.24708741949131,0.808112590003004,-0.333020730851061,0.270044717805251,1.39782806949314,-0.040919355474895,-0.532058088579885,0.607163001637617,0.686480742649598,-0.171786690867464,1.23195891663389,-1.04627723386587,0.780408322428028,0.172997274648309,-0.121949453487056,0.106144592393056,0.0225879897045357,-0.679590396656655,0.21585154981839,0.983280729116361,-0.988489185040694,0.773039328768665,0.527043751119325,-0.755936686393015
"11",11,-0.651283189763543,0.209552803340818,0.042979339140366,1.06454758409974,0.162600272954353,-0.651914964774566,-0.855897748103132,1.02059059921749,-0.218947414417524,-0.0649164527762762,-1.3498683885892,-0.030847397972692,0.375902454905114,-1.23553493627767,0.72777945517267,0.681760039958526,0.83865646099417,-0.643464295097991,-0.702982064389456,-0.483022470448561,-0.92912008049351,-0.37047889665224,-0.818821975876166,-0.0549139702158898,0.140240347612673
"12",12,0.275305884640124,-0.519114010966829,0.335889040552443,1.14875706801404,0.0773852391468247,-1.74827099159646,-0.487076125110728,-0.196263839031886,0.453781070916663,0.341226986971073,0.570215332626833,-0.486597673900364,-0.555063650020686,-0.935432453177671,0.421140325707872,0.688902211248609,0.431045706688092,0.341092122845621,0.582108710628573,0.516978966180601,0.936899078026761,0.140695041774266,0.466462596125089,-0.633562543749268,0.70167959942616
"13",13,0.363454387506106,-0.00712306355482181,0.319627218063766,-0.812816065266796,0.0690549619453516,-0.810166955655146,-0.152725829943332,1.08094398313869,0.108079692331492,-0.792182046351647,0.467548380999209,0.836081321922411,-0.143525018862118,-0.363881523310567,0.177260656381127,0.573830122537456,-0.786549615533212,0.51236401628156,0.182030678054758,0.082411920427396,-0.407286296530831,0.723215204065171,0.693772200214495,0.622278520593305,0.0433610365752432
"14",14,0.0821845558022495,0.334042562527094,-0.210699795015092,0.536189867524101,-0.340155017784039,0.685586314984066,0.30988915483561,0.833194851270018,-0.585013010269398,-0.512423342325575,-0.0355854105824349,-0.786700900255777,0.710701072761208,-0.0377927782191628,0.54805944993489,0.0785191927417823,0.606239812695058,0.994860709029232,-0.00310899312407873,-0.638906997218412,-1.18331550516296,-0.321116404993391,-0.601507724681938,0.467058883341627,0.385051965133122
"15",15,0.472130992132904,-1.57991774534243,-0.471013708926155,0.606912370845104,-1.37610041438056,0.993340641122915,0.185875771749457,1.06767095348185,0.0888838102780788,0.173755672406727,0.237865553890385,-0.24928198512578,0.782034754478278,-1.12939197981291,0.8587270317452,-0.177289730559862,0.314101223199059,0.37059030607703,-0.142141570256102,-0.136911275362083,-0.163982644545319,0.976957104905925,-1.0669200924918,0.593441614020025,-0.337203278273108
